episode 86, score 8.0, avg_score_total 18.345, avg_score_last_20 20.200, time_steps_per_episode 8, learning_steps 0, std_score 9.237, std_score_last_20 9.847, total_time_steps 1596, total_learning_steps 33, total_terminations 87, total_truncations 0
episode 87, score 32.0, avg_score_total 18.500, avg_score_last_20 19.050, time_steps_per_episode 32, learning_steps 1, std_score 9.298, std_score_last_20 6.484, total_time_steps 1628, total_learning_steps 34, total_terminations 88, total_truncations 0
episode 88, score 46.0, avg_score_total 18.809, avg_score_last_20 20.250, time_steps_per_episode 46, learning_steps 2, std_score 9.689, std_score_last_20 8.746, total_time_steps 1674, total_learning_steps 36, total_terminations 89, total_truncations 0
episode 89, score 11.0, avg_score_total 18.722, avg_score_last_20 19.650, time_steps_per_episode 11, learning_steps 0, std_score 9.670, std_score_last_20 8.946, total_time_steps 1685, total_learning_steps 36, total_terminations 90, total_truncations 0
episode 90, score 18.0, avg_score_total 18.714, avg_score_last_20 19.150, time_steps_per_episode 18, learning_steps 0, std_score 9.617, std_score_last_20 8.742, total_time_steps 1703, total_learning_steps 36, total_terminations 91, total_truncations 0
episode 91, score 32.0, avg_score_total 18.859, avg_score_last_20 20.000, time_steps_per_episode 32, learning_steps 1, std_score 9.663, std_score_last_20 9.116, total_time_steps 1735, total_learning_steps 37, total_terminations 92, total_truncations 0
episode 92, score 28.0, avg_score_total 18.957, avg_score_last_20 20.400, time_steps_per_episode 28, learning_steps 1, std_score 9.657, std_score_last_20 9.281, total_time_steps 1763, total_learning_steps 38, total_terminations 93, total_truncations 0
episode 93, score 12.0, avg_score_total 18.883, avg_score_last_20 19.950, time_steps_per_episode 12, learning_steps 0, std_score 9.632, std_score_last_20 9.458, total_time_steps 1775, total_learning_steps 38, total_terminations 94, total_truncations 0
episode 94, score 20.0, avg_score_total 18.895, avg_score_last_20 20.300, time_steps_per_episode 20, learning_steps 1, std_score 9.582, std_score_last_20 9.323, total_time_steps 1795, total_learning_steps 39, total_terminations 95, total_truncations 0
episode 95, score 11.0, avg_score_total 18.812, avg_score_last_20 20.200, time_steps_per_episode 11, learning_steps 0, std_score 9.566, std_score_last_20 9.411, total_time_steps 1806, total_learning_steps 39, total_terminations 96, total_truncations 0
episode 96, score 8.0, avg_score_total 18.701, avg_score_last_20 19.650, time_steps_per_episode 8, learning_steps 0, std_score 9.579, std_score_last_20 9.779, total_time_steps 1814, total_learning_steps 39, total_terminations 97, total_truncations 0
episode 97, score 18.0, avg_score_total 18.694, avg_score_last_20 19.850, time_steps_per_episode 18, learning_steps 0, std_score 9.530, std_score_last_20 9.702, total_time_steps 1832, total_learning_steps 39, total_terminations 98, total_truncations 0
episode 98, score 17.0, avg_score_total 18.677, avg_score_last_20 19.350, time_steps_per_episode 17, learning_steps 0, std_score 9.483, std_score_last_20 9.577, total_time_steps 1849, total_learning_steps 39, total_terminations 99, total_truncations 0
episode 99, score 11.0, avg_score_total 18.600, avg_score_last_20 19.350, time_steps_per_episode 11, learning_steps 0, std_score 9.467, std_score_last_20 9.577, total_time_steps 1860, total_learning_steps 39, total_terminations 100, total_truncations 0
episode 100, score 16.0, avg_score_total 18.574, avg_score_last_20 19.350, time_steps_per_episode 16, learning_steps 0, std_score 9.423, std_score_last_20 9.577, total_time_steps 1876, total_learning_steps 39, total_terminations 101, total_truncations 0
episode 101, score 39.0, avg_score_total 18.775, avg_score_last_20 20.400, time_steps_per_episode 39, learning_steps 1, std_score 9.591, std_score_last_20 10.480, total_time_steps 1915, total_learning_steps 40, total_terminations 102, total_truncations 0
episode 102, score 34.0, avg_score_total 18.922, avg_score_last_20 21.050, time_steps_per_episode 34, learning_steps 1, std_score 9.660, std_score_last_20 10.893, total_time_steps 1949, total_learning_steps 41, total_terminations 103, total_truncations 0
episode 103, score 51.0, avg_score_total 19.231, avg_score_last_20 23.100, time_steps_per_episode 51, learning_steps 2, std_score 10.110, std_score_last_20 12.377, total_time_steps 2000, total_learning_steps 43, total_terminations 104, total_truncations 0
episode 104, score 23.0, avg_score_total 19.267, avg_score_last_20 22.800, time_steps_per_episode 23, learning_steps 1, std_score 10.069, std_score_last_20 12.303, total_time_steps 2023, total_learning_steps 44, total_terminations 105, total_truncations 0
episode 105, score 20.0, avg_score_total 19.274, avg_score_last_20 22.750, time_steps_per_episode 20, learning_steps 1, std_score 10.021, std_score_last_20 12.312, total_time_steps 2043, total_learning_steps 45, total_terminations 106, total_truncations 0
