episode 48, score -105.25, avg_score_total -96.20, avg_score_last_20 -96.23, time_steps_per_episode 73, learning_steps 3, std_score 13.59, std_score_last_20 9.10, total_time_steps 49231, total_learning_steps 2454, total_terminations 19, total_truncations 30
episode 49, score -88.79, avg_score_total -96.06, avg_score_last_20 -96.39, time_steps_per_episode 1600, learning_steps 80, std_score 13.50, std_score_last_20 8.94, total_time_steps 50831, total_learning_steps 2534, total_terminations 19, total_truncations 31
episode 50, score -85.54, avg_score_total -95.85, avg_score_last_20 -95.66, time_steps_per_episode 1600, learning_steps 80, std_score 13.44, std_score_last_20 9.20, total_time_steps 52431, total_learning_steps 2614, total_terminations 19, total_truncations 32
episode 51, score -95.69, avg_score_total -95.85, avg_score_last_20 -94.87, time_steps_per_episode 1600, learning_steps 80, std_score 13.31, std_score_last_20 8.45, total_time_steps 54031, total_learning_steps 2694, total_terminations 19, total_truncations 33
episode 52, score -90.55, avg_score_total -95.75, avg_score_last_20 -95.03, time_steps_per_episode 1600, learning_steps 80, std_score 13.21, std_score_last_20 8.33, total_time_steps 55631, total_learning_steps 2774, total_terminations 19, total_truncations 34
episode 53, score -95.62, avg_score_total -95.74, avg_score_last_20 -95.43, time_steps_per_episode 1600, learning_steps 80, std_score 13.08, std_score_last_20 8.16, total_time_steps 57231, total_learning_steps 2854, total_terminations 19, total_truncations 35
episode 54, score -93.11, avg_score_total -95.70, avg_score_last_20 -96.07, time_steps_per_episode 1600, learning_steps 80, std_score 12.97, std_score_last_20 7.41, total_time_steps 58831, total_learning_steps 2934, total_terminations 19, total_truncations 36
episode 55, score -99.83, avg_score_total -95.77, avg_score_last_20 -96.56, time_steps_per_episode 1600, learning_steps 80, std_score 12.86, std_score_last_20 7.32, total_time_steps 60431, total_learning_steps 3014, total_terminations 19, total_truncations 37
episode 56, score -93.64, avg_score_total -95.73, avg_score_last_20 -95.27, time_steps_per_episode 1600, learning_steps 80, std_score 12.75, std_score_last_20 5.11, total_time_steps 62031, total_learning_steps 3094, total_terminations 19, total_truncations 38
episode 57, score -99.11, avg_score_total -95.79, avg_score_last_20 -95.47, time_steps_per_episode 1600, learning_steps 80, std_score 12.65, std_score_last_20 5.18, total_time_steps 63631, total_learning_steps 3174, total_terminations 19, total_truncations 39
episode 58, score -98.79, avg_score_total -95.84, avg_score_last_20 -95.54, time_steps_per_episode 1600, learning_steps 80, std_score 12.55, std_score_last_20 5.21, total_time_steps 65231, total_learning_steps 3254, total_terminations 19, total_truncations 40
episode 59, score -95.22, avg_score_total -95.83, avg_score_last_20 -95.56, time_steps_per_episode 1600, learning_steps 80, std_score 12.44, std_score_last_20 5.21, total_time_steps 66831, total_learning_steps 3334, total_terminations 19, total_truncations 41
episode 60, score -94.14, avg_score_total -95.80, avg_score_last_20 -95.24, time_steps_per_episode 1600, learning_steps 80, std_score 12.34, std_score_last_20 5.09, total_time_steps 68431, total_learning_steps 3414, total_terminations 19, total_truncations 42
episode 61, score -91.29, avg_score_total -95.73, avg_score_last_20 -95.31, time_steps_per_episode 1600, learning_steps 80, std_score 12.26, std_score_last_20 5.03, total_time_steps 70031, total_learning_steps 3494, total_terminations 19, total_truncations 43
episode 62, score -99.09, avg_score_total -95.78, avg_score_last_20 -95.37, time_steps_per_episode 1600, learning_steps 80, std_score 12.17, std_score_last_20 5.06, total_time_steps 71631, total_learning_steps 3574, total_terminations 19, total_truncations 44
episode 63, score -95.35, avg_score_total -95.78, avg_score_last_20 -95.60, time_steps_per_episode 1600, learning_steps 80, std_score 12.07, std_score_last_20 4.96, total_time_steps 73231, total_learning_steps 3654, total_terminations 19, total_truncations 45
episode 64, score -87.07, avg_score_total -95.64, avg_score_last_20 -94.71, time_steps_per_episode 1600, learning_steps 80, std_score 12.03, std_score_last_20 4.82, total_time_steps 74831, total_learning_steps 3734, total_terminations 19, total_truncations 46
episode 65, score -85.72, avg_score_total -95.49, avg_score_last_20 -93.95, time_steps_per_episode 1600, learning_steps 80, std_score 12.00, std_score_last_20 4.97, total_time_steps 76431, total_learning_steps 3814, total_terminations 19, total_truncations 47
episode 66, score -84.93, avg_score_total -95.34, avg_score_last_20 -93.68, time_steps_per_episode 1600, learning_steps 80, std_score 11.97, std_score_last_20 5.30, total_time_steps 78031, total_learning_steps 3894, total_terminations 19, total_truncations 48
episode 67, score -84.94, avg_score_total -95.18, avg_score_last_20 -93.18, time_steps_per_episode 1600, learning_steps 80, std_score 11.95, std_score_last_20 5.62, total_time_steps 79631, total_learning_steps 3974, total_terminations 19, total_truncations 49
episode 68, score -90.50, avg_score_total -95.12, avg_score_last_20 -92.45, time_steps_per_episode 1600, learning_steps 80, std_score 11.88, std_score_last_20 4.91, total_time_steps 81231, total_learning_steps 4054, total_terminations 19, total_truncations 50
episode 69, score -85.69, avg_score_total -94.98, avg_score_last_20 -92.29, time_steps_per_episode 1600, learning_steps 80, std_score 11.85, std_score_last_20 5.07, total_time_steps 82831, total_learning_steps 4134, total_terminations 19, total_truncations 51
episode 70, score -88.22, avg_score_total -94.89, avg_score_last_20 -92.43, time_steps_per_episode 1600, learning_steps 80, std_score 11.79, std_score_last_20 4.92, total_time_steps 84431, total_learning_steps 4214, total_terminations 19, total_truncations 52
episode 71, score -83.46, avg_score_total -94.73, avg_score_last_20 -91.81, time_steps_per_episode 1600, learning_steps 80, std_score 11.78, std_score_last_20 5.23, total_time_steps 86031, total_learning_steps 4294, total_terminations 19, total_truncations 53
episode 72, score -75.07, avg_score_total -94.46, avg_score_last_20 -91.04, time_steps_per_episode 1600, learning_steps 80, std_score 11.92, std_score_last_20 6.38, total_time_steps 87631, total_learning_steps 4374, total_terminations 19, total_truncations 54
episode 73, score -82.70, avg_score_total -94.30, avg_score_last_20 -90.39, time_steps_per_episode 1600, learning_steps 80, std_score 11.92, std_score_last_20 6.53, total_time_steps 89231, total_learning_steps 4454, total_terminations 19, total_truncations 55
episode 74, score -87.15, avg_score_total -94.20, avg_score_last_20 -90.10, time_steps_per_episode 1600, learning_steps 80, std_score 11.87, std_score_last_20 6.54, total_time_steps 90831, total_learning_steps 4534, total_terminations 19, total_truncations 56
episode 75, score -87.77, avg_score_total -94.12, avg_score_last_20 -89.49, time_steps_per_episode 1600, learning_steps 80, std_score 11.81, std_score_last_20 6.16, total_time_steps 92431, total_learning_steps 4614, total_terminations 19, total_truncations 57
episode 76, score -79.82, avg_score_total -93.93, avg_score_last_20 -88.80, time_steps_per_episode 1600, learning_steps 80, std_score 11.85, std_score_last_20 6.42, total_time_steps 94031, total_learning_steps 4694, total_terminations 19, total_truncations 58
episode 77, score -76.02, avg_score_total -93.70, avg_score_last_20 -87.65, time_steps_per_episode 1600, learning_steps 80, std_score 11.94, std_score_last_20 6.54, total_time_steps 95631, total_learning_steps 4774, total_terminations 19, total_truncations 59
episode 78, score -78.46, avg_score_total -93.51, avg_score_last_20 -86.63, time_steps_per_episode 1600, learning_steps 80, std_score 11.99, std_score_last_20 6.30, total_time_steps 97231, total_learning_steps 4854, total_terminations 19, total_truncations 60
episode 79, score -110.71, avg_score_total -93.73, avg_score_last_20 -87.40, time_steps_per_episode 99, learning_steps 4, std_score 12.06, std_score_last_20 8.03, total_time_steps 97330, total_learning_steps 4858, total_terminations 20, total_truncations 60
