episode 66, score -6.13, avg_score_total -6.53, avg_score_last_20 -5.41, time_steps_per_episode 999, learning_steps 49, std_score 3.85, std_score_last_20 1.05, total_time_steps 66933, total_learning_steps 3283, total_terminations 0, total_truncations 67
episode 67, score -6.76, avg_score_total -6.54, avg_score_last_20 -5.49, time_steps_per_episode 999, learning_steps 49, std_score 3.82, std_score_last_20 1.09, total_time_steps 67932, total_learning_steps 3332, total_terminations 0, total_truncations 68
episode 68, score -5.30, avg_score_total -6.52, avg_score_last_20 -5.48, time_steps_per_episode 999, learning_steps 49, std_score 3.80, std_score_last_20 1.09, total_time_steps 68931, total_learning_steps 3381, total_terminations 0, total_truncations 69
episode 69, score -5.57, avg_score_total -6.51, avg_score_last_20 -5.45, time_steps_per_episode 999, learning_steps 49, std_score 3.77, std_score_last_20 1.08, total_time_steps 69930, total_learning_steps 3430, total_terminations 0, total_truncations 70
episode 70, score -5.33, avg_score_total -6.49, avg_score_last_20 -5.40, time_steps_per_episode 999, learning_steps 49, std_score 3.75, std_score_last_20 1.06, total_time_steps 70929, total_learning_steps 3479, total_terminations 0, total_truncations 71
episode 71, score -5.30, avg_score_total -6.47, avg_score_last_20 -5.36, time_steps_per_episode 999, learning_steps 49, std_score 3.72, std_score_last_20 1.05, total_time_steps 71928, total_learning_steps 3528, total_terminations 0, total_truncations 72
episode 72, score -5.75, avg_score_total -6.46, avg_score_last_20 -5.31, time_steps_per_episode 999, learning_steps 49, std_score 3.70, std_score_last_20 1.01, total_time_steps 72927, total_learning_steps 3577, total_terminations 0, total_truncations 73
episode 73, score -5.05, avg_score_total -6.44, avg_score_last_20 -5.14, time_steps_per_episode 999, learning_steps 49, std_score 3.68, std_score_last_20 0.67, total_time_steps 73926, total_learning_steps 3626, total_terminations 0, total_truncations 74
episode 74, score -4.15, avg_score_total -6.41, avg_score_last_20 -5.09, time_steps_per_episode 999, learning_steps 49, std_score 3.66, std_score_last_20 0.71, total_time_steps 74925, total_learning_steps 3675, total_terminations 0, total_truncations 75
episode 75, score -5.82, avg_score_total -6.40, avg_score_last_20 -5.15, time_steps_per_episode 999, learning_steps 49, std_score 3.64, std_score_last_20 0.72, total_time_steps 75924, total_learning_steps 3724, total_terminations 0, total_truncations 76
episode 76, score -4.75, avg_score_total -6.38, avg_score_last_20 -5.16, time_steps_per_episode 999, learning_steps 49, std_score 3.62, std_score_last_20 0.71, total_time_steps 76923, total_learning_steps 3773, total_terminations 0, total_truncations 77
episode 77, score -4.44, avg_score_total -6.36, avg_score_last_20 -5.15, time_steps_per_episode 999, learning_steps 49, std_score 3.60, std_score_last_20 0.72, total_time_steps 77922, total_learning_steps 3822, total_terminations 0, total_truncations 78
episode 78, score -5.72, avg_score_total -6.35, avg_score_last_20 -5.19, time_steps_per_episode 999, learning_steps 49, std_score 3.58, std_score_last_20 0.72, total_time_steps 78921, total_learning_steps 3871, total_terminations 0, total_truncations 79
episode 79, score -4.84, avg_score_total -6.33, avg_score_last_20 -5.17, time_steps_per_episode 999, learning_steps 49, std_score 3.56, std_score_last_20 0.73, total_time_steps 79920, total_learning_steps 3920, total_terminations 0, total_truncations 80
episode 80, score -5.15, avg_score_total -6.32, avg_score_last_20 -5.17, time_steps_per_episode 999, learning_steps 49, std_score 3.54, std_score_last_20 0.73, total_time_steps 80919, total_learning_steps 3969, total_terminations 0, total_truncations 81
episode 81, score -4.69, avg_score_total -6.30, avg_score_last_20 -5.11, time_steps_per_episode 999, learning_steps 49, std_score 3.53, std_score_last_20 0.72, total_time_steps 81918, total_learning_steps 4018, total_terminations 0, total_truncations 82
episode 82, score -6.27, avg_score_total -6.30, avg_score_last_20 -5.20, time_steps_per_episode 999, learning_steps 49, std_score 3.51, std_score_last_20 0.74, total_time_steps 82917, total_learning_steps 4067, total_terminations 0, total_truncations 83
episode 83, score -6.26, avg_score_total -6.30, avg_score_last_20 -5.33, time_steps_per_episode 999, learning_steps 49, std_score 3.48, std_score_last_20 0.70, total_time_steps 83916, total_learning_steps 4116, total_terminations 0, total_truncations 84
episode 84, score -6.47, avg_score_total -6.30, avg_score_last_20 -5.44, time_steps_per_episode 999, learning_steps 49, std_score 3.46, std_score_last_20 0.69, total_time_steps 84915, total_learning_steps 4165, total_terminations 0, total_truncations 85
episode 85, score -5.61, avg_score_total -6.29, avg_score_last_20 -5.47, time_steps_per_episode 999, learning_steps 49, std_score 3.44, std_score_last_20 0.68, total_time_steps 85914, total_learning_steps 4214, total_terminations 0, total_truncations 86
episode 86, score -5.72, avg_score_total -6.28, avg_score_last_20 -5.45, time_steps_per_episode 999, learning_steps 49, std_score 3.43, std_score_last_20 0.67, total_time_steps 86913, total_learning_steps 4263, total_terminations 0, total_truncations 87
episode 87, score -5.88, avg_score_total -6.28, avg_score_last_20 -5.40, time_steps_per_episode 999, learning_steps 49, std_score 3.41, std_score_last_20 0.61, total_time_steps 87912, total_learning_steps 4312, total_terminations 0, total_truncations 88
episode 88, score -5.77, avg_score_total -6.27, avg_score_last_20 -5.43, time_steps_per_episode 999, learning_steps 49, std_score 3.39, std_score_last_20 0.61, total_time_steps 88911, total_learning_steps 4361, total_terminations 0, total_truncations 89
episode 89, score -5.70, avg_score_total -6.27, avg_score_last_20 -5.43, time_steps_per_episode 999, learning_steps 49, std_score 3.37, std_score_last_20 0.61, total_time_steps 89910, total_learning_steps 4410, total_terminations 0, total_truncations 90
episode 90, score -5.54, avg_score_total -6.26, avg_score_last_20 -5.44, time_steps_per_episode 999, learning_steps 49, std_score 3.35, std_score_last_20 0.61, total_time_steps 90909, total_learning_steps 4459, total_terminations 0, total_truncations 91
episode 91, score -5.41, avg_score_total -6.25, avg_score_last_20 -5.45, time_steps_per_episode 999, learning_steps 49, std_score 3.33, std_score_last_20 0.61, total_time_steps 91908, total_learning_steps 4508, total_terminations 0, total_truncations 92
episode 92, score -6.02, avg_score_total -6.25, avg_score_last_20 -5.46, time_steps_per_episode 999, learning_steps 49, std_score 3.32, std_score_last_20 0.62, total_time_steps 92907, total_learning_steps 4557, total_terminations 0, total_truncations 93
episode 93, score -6.45, avg_score_total -6.25, avg_score_last_20 -5.53, time_steps_per_episode 999, learning_steps 49, std_score 3.30, std_score_last_20 0.65, total_time_steps 93906, total_learning_steps 4606, total_terminations 0, total_truncations 94
episode 94, score -8.62, avg_score_total -6.27, avg_score_last_20 -5.76, time_steps_per_episode 999, learning_steps 49, std_score 3.29, std_score_last_20 0.87, total_time_steps 94905, total_learning_steps 4655, total_terminations 0, total_truncations 95
