episode 56, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 11400, total_learning_steps 570, total_terminations 0, total_truncations 57
episode 57, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 11600, total_learning_steps 580, total_terminations 0, total_truncations 58
episode 58, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 11800, total_learning_steps 590, total_terminations 0, total_truncations 59
episode 59, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 12000, total_learning_steps 600, total_terminations 0, total_truncations 60
episode 60, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 12200, total_learning_steps 610, total_terminations 0, total_truncations 61
episode 61, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 12400, total_learning_steps 620, total_terminations 0, total_truncations 62
episode 62, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 12600, total_learning_steps 630, total_terminations 0, total_truncations 63
episode 63, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 12800, total_learning_steps 640, total_terminations 0, total_truncations 64
episode 64, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 13000, total_learning_steps 650, total_terminations 0, total_truncations 65
episode 65, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 13200, total_learning_steps 660, total_terminations 0, total_truncations 66
episode 66, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 13400, total_learning_steps 670, total_terminations 0, total_truncations 67
episode 67, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 13600, total_learning_steps 680, total_terminations 0, total_truncations 68
episode 68, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 13800, total_learning_steps 690, total_terminations 0, total_truncations 69
episode 69, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 14000, total_learning_steps 700, total_terminations 0, total_truncations 70
episode 70, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 14200, total_learning_steps 710, total_terminations 0, total_truncations 71
episode 71, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 14400, total_learning_steps 720, total_terminations 0, total_truncations 72
episode 72, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 14600, total_learning_steps 730, total_terminations 0, total_truncations 73
episode 73, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 14800, total_learning_steps 740, total_terminations 0, total_truncations 74
episode 74, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 15000, total_learning_steps 750, total_terminations 0, total_truncations 75
episode 75, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 15200, total_learning_steps 760, total_terminations 0, total_truncations 76
episode 76, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 15400, total_learning_steps 770, total_terminations 0, total_truncations 77
episode 77, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 15600, total_learning_steps 780, total_terminations 0, total_truncations 78
episode 78, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 15800, total_learning_steps 790, total_terminations 0, total_truncations 79
