episode 41, score -422.0, avg_score_total -386.667, avg_score_last_20 -270.000, time_steps_per_episode 423, learning_steps 21, std_score 127.817, std_score_last_20 88.093, total_time_steps 16263, total_learning_steps 804, total_terminations 23, total_truncations 19
episode 42, score -500.0, avg_score_total -389.302, avg_score_last_20 -281.800, time_steps_per_episode 500, learning_steps 25, std_score 127.472, std_score_last_20 101.313, total_time_steps 16763, total_learning_steps 829, total_terminations 23, total_truncations 20
episode 43, score -396.0, avg_score_total -389.455, avg_score_last_20 -291.250, time_steps_per_episode 397, learning_steps 19, std_score 126.019, std_score_last_20 102.700, total_time_steps 17160, total_learning_steps 848, total_terminations 24, total_truncations 20
episode 44, score -369.0, avg_score_total -389.000, avg_score_last_20 -300.600, time_steps_per_episode 370, learning_steps 18, std_score 124.647, std_score_last_20 100.824, total_time_steps 17530, total_learning_steps 866, total_terminations 25, total_truncations 20
episode 45, score -230.0, avg_score_total -385.543, avg_score_last_20 -302.100, time_steps_per_episode 231, learning_steps 11, std_score 125.447, std_score_last_20 99.531, total_time_steps 17761, total_learning_steps 877, total_terminations 26, total_truncations 20
episode 46, score -229.0, avg_score_total -382.213, avg_score_last_20 -302.100, time_steps_per_episode 230, learning_steps 11, std_score 126.144, std_score_last_20 99.531, total_time_steps 17991, total_learning_steps 888, total_terminations 27, total_truncations 20
episode 47, score -196.0, avg_score_total -378.333, avg_score_last_20 -294.250, time_steps_per_episode 197, learning_steps 9, std_score 127.625, std_score_last_20 101.381, total_time_steps 18188, total_learning_steps 897, total_terminations 28, total_truncations 20
episode 48, score -157.0, avg_score_total -373.816, avg_score_last_20 -293.250, time_steps_per_episode 158, learning_steps 7, std_score 130.135, std_score_last_20 102.624, total_time_steps 18346, total_learning_steps 904, total_terminations 29, total_truncations 20
episode 49, score -178.0, avg_score_total -369.900, avg_score_last_20 -280.150, time_steps_per_episode 179, learning_steps 8, std_score 131.712, std_score_last_20 99.736, total_time_steps 18525, total_learning_steps 912, total_terminations 30, total_truncations 20
episode 50, score -145.0, avg_score_total -365.490, avg_score_last_20 -274.250, time_steps_per_episode 146, learning_steps 7, std_score 134.090, std_score_last_20 103.976, total_time_steps 18671, total_learning_steps 919, total_terminations 31, total_truncations 20
episode 51, score -244.0, avg_score_total -363.154, avg_score_last_20 -268.450, time_steps_per_episode 245, learning_steps 12, std_score 133.839, std_score_last_20 102.252, total_time_steps 18916, total_learning_steps 931, total_terminations 32, total_truncations 20
episode 52, score -135.0, avg_score_total -358.849, avg_score_last_20 -251.900, time_steps_per_episode 136, learning_steps 6, std_score 136.156, std_score_last_20 95.503, total_time_steps 19052, total_learning_steps 937, total_terminations 33, total_truncations 20
episode 53, score -296.0, avg_score_total -357.685, avg_score_last_20 -253.700, time_steps_per_episode 297, learning_steps 14, std_score 135.155, std_score_last_20 95.977, total_time_steps 19349, total_learning_steps 951, total_terminations 34, total_truncations 20
episode 54, score -161.0, avg_score_total -354.109, avg_score_last_20 -249.350, time_steps_per_episode 162, learning_steps 8, std_score 136.475, std_score_last_20 98.085, total_time_steps 19511, total_learning_steps 959, total_terminations 35, total_truncations 20
episode 55, score -135.0, avg_score_total -350.196, avg_score_last_20 -243.250, time_steps_per_episode 136, learning_steps 6, std_score 138.328, std_score_last_20 101.165, total_time_steps 19647, total_learning_steps 965, total_terminations 36, total_truncations 20
episode 56, score -200.0, avg_score_total -347.561, avg_score_last_20 -241.150, time_steps_per_episode 201, learning_steps 10, std_score 138.520, std_score_last_20 101.604, total_time_steps 19848, total_learning_steps 975, total_terminations 37, total_truncations 20
episode 57, score -149.0, avg_score_total -344.138, avg_score_last_20 -238.650, time_steps_per_episode 150, learning_steps 7, std_score 139.732, std_score_last_20 103.213, total_time_steps 19998, total_learning_steps 982, total_terminations 38, total_truncations 20
episode 58, score -165.0, avg_score_total -341.102, avg_score_last_20 -239.000, time_steps_per_episode 166, learning_steps 8, std_score 140.459, std_score_last_20 102.950, total_time_steps 20164, total_learning_steps 990, total_terminations 39, total_truncations 20
episode 59, score -206.0, avg_score_total -338.850, avg_score_last_20 -238.800, time_steps_per_episode 207, learning_steps 10, std_score 140.354, std_score_last_20 103.010, total_time_steps 20371, total_learning_steps 1000, total_terminations 40, total_truncations 20
episode 60, score -155.0, avg_score_total -335.836, avg_score_last_20 -233.400, time_steps_per_episode 156, learning_steps 7, std_score 141.143, std_score_last_20 104.421, total_time_steps 20527, total_learning_steps 1007, total_terminations 41, total_truncations 20
episode 61, score -167.0, avg_score_total -333.113, avg_score_last_20 -220.650, time_steps_per_episode 168, learning_steps 8, std_score 141.606, std_score_last_20 95.829, total_time_steps 20695, total_learning_steps 1015, total_terminations 42, total_truncations 20
episode 62, score -186.0, avg_score_total -330.778, avg_score_last_20 -204.950, time_steps_per_episode 187, learning_steps 9, std_score 141.676, std_score_last_20 71.378, total_time_steps 20882, total_learning_steps 1024, total_terminations 43, total_truncations 20
episode 63, score -128.0, avg_score_total -327.609, avg_score_last_20 -191.550, time_steps_per_episode 129, learning_steps 6, std_score 142.797, std_score_last_20 58.192, total_time_steps 21011, total_learning_steps 1030, total_terminations 44, total_truncations 20
episode 64, score -186.0, avg_score_total -325.431, avg_score_last_20 -182.400, time_steps_per_episode 187, learning_steps 9, std_score 142.762, std_score_last_20 41.590, total_time_steps 21198, total_learning_steps 1039, total_terminations 45, total_truncations 20
episode 65, score -135.0, avg_score_total -322.545, avg_score_last_20 -177.650, time_steps_per_episode 136, learning_steps 6, std_score 143.573, std_score_last_20 41.307, total_time_steps 21334, total_learning_steps 1045, total_terminations 46, total_truncations 20
episode 66, score -132.0, avg_score_total -319.701, avg_score_last_20 -172.800, time_steps_per_episode 133, learning_steps 6, std_score 144.359, std_score_last_20 40.682, total_time_steps 21467, total_learning_steps 1051, total_terminations 47, total_truncations 20
episode 67, score -113.0, avg_score_total -316.662, avg_score_last_20 -168.650, time_steps_per_episode 114, learning_steps 5, std_score 145.437, std_score_last_20 42.305, total_time_steps 21581, total_learning_steps 1056, total_terminations 48, total_truncations 20
episode 68, score -181.0, avg_score_total -314.696, avg_score_last_20 -169.850, time_steps_per_episode 182, learning_steps 9, std_score 145.287, std_score_last_20 42.298, total_time_steps 21763, total_learning_steps 1065, total_terminations 49, total_truncations 20
episode 69, score -115.0, avg_score_total -311.843, avg_score_last_20 -166.700, time_steps_per_episode 116, learning_steps 5, std_score 146.179, std_score_last_20 43.890, total_time_steps 21879, total_learning_steps 1070, total_terminations 50, total_truncations 20
episode 70, score -153.0, avg_score_total -309.606, avg_score_last_20 -167.100, time_steps_per_episode 154, learning_steps 7, std_score 146.348, std_score_last_20 43.726, total_time_steps 22033, total_learning_steps 1077, total_terminations 51, total_truncations 20
episode 71, score -108.0, avg_score_total -306.806, avg_score_last_20 -160.300, time_steps_per_episode 109, learning_steps 5, std_score 147.231, std_score_last_20 41.770, total_time_steps 22142, total_learning_steps 1082, total_terminations 52, total_truncations 20
episode 72, score -133.0, avg_score_total -304.425, avg_score_last_20 -160.200, time_steps_per_episode 134, learning_steps 6, std_score 147.608, std_score_last_20 41.833, total_time_steps 22276, total_learning_steps 1088, total_terminations 53, total_truncations 20
episode 73, score -119.0, avg_score_total -301.919, avg_score_last_20 -151.350, time_steps_per_episode 120, learning_steps 6, std_score 148.162, std_score_last_20 28.886, total_time_steps 22396, total_learning_steps 1094, total_terminations 54, total_truncations 20
episode 74, score -127.0, avg_score_total -299.587, avg_score_last_20 -149.650, time_steps_per_episode 128, learning_steps 6, std_score 148.532, std_score_last_20 29.266, total_time_steps 22524, total_learning_steps 1100, total_terminations 55, total_truncations 20
