episode 37, score -1549.33, avg_score_total -1610.73, avg_score_last_20 -1599.57, time_steps_per_episode 200, learning_steps 10, std_score 187.40, std_score_last_20 174.93, total_time_steps 7600, total_learning_steps 380, total_terminations 0, total_truncations 38
episode 38, score -1363.81, avg_score_total -1604.40, avg_score_last_20 -1578.81, time_steps_per_episode 200, learning_steps 10, std_score 189.06, std_score_last_20 177.03, total_time_steps 7800, total_learning_steps 390, total_terminations 0, total_truncations 39
episode 39, score -1684.52, avg_score_total -1606.40, avg_score_last_20 -1589.51, time_steps_per_episode 200, learning_steps 10, std_score 187.10, std_score_last_20 176.63, total_time_steps 8000, total_learning_steps 400, total_terminations 0, total_truncations 40
episode 40, score -1865.29, avg_score_total -1612.72, avg_score_last_20 -1593.64, time_steps_per_episode 200, learning_steps 10, std_score 189.07, std_score_last_20 181.99, total_time_steps 8200, total_learning_steps 410, total_terminations 0, total_truncations 41
episode 41, score -1754.34, avg_score_total -1616.09, avg_score_last_20 -1595.17, time_steps_per_episode 200, learning_steps 10, std_score 188.04, std_score_last_20 183.19, total_time_steps 8400, total_learning_steps 420, total_terminations 0, total_truncations 42
episode 42, score -1552.93, avg_score_total -1614.62, avg_score_last_20 -1599.55, time_steps_per_episode 200, learning_steps 10, std_score 186.09, std_score_last_20 181.07, total_time_steps 8600, total_learning_steps 430, total_terminations 0, total_truncations 43
episode 43, score -1742.23, avg_score_total -1617.52, avg_score_last_20 -1594.37, time_steps_per_episode 200, learning_steps 10, std_score 184.94, std_score_last_20 175.35, total_time_steps 8800, total_learning_steps 440, total_terminations 0, total_truncations 44
episode 44, score -1589.91, avg_score_total -1616.91, avg_score_last_20 -1597.84, time_steps_per_episode 200, learning_steps 10, std_score 182.92, std_score_last_20 174.54, total_time_steps 9000, total_learning_steps 450, total_terminations 0, total_truncations 45
episode 45, score -1841.20, avg_score_total -1621.78, avg_score_last_20 -1616.84, time_steps_per_episode 200, learning_steps 10, std_score 183.86, std_score_last_20 179.25, total_time_steps 9200, total_learning_steps 460, total_terminations 0, total_truncations 46
episode 46, score -1478.53, avg_score_total -1618.74, avg_score_last_20 -1621.18, time_steps_per_episode 200, learning_steps 10, std_score 183.06, std_score_last_20 174.75, total_time_steps 9400, total_learning_steps 470, total_terminations 0, total_truncations 47
episode 47, score -1457.95, avg_score_total -1615.39, avg_score_last_20 -1604.27, time_steps_per_episode 200, learning_steps 10, std_score 182.59, std_score_last_20 173.35, total_time_steps 9600, total_learning_steps 480, total_terminations 0, total_truncations 48
episode 48, score -1636.15, avg_score_total -1615.81, avg_score_last_20 -1601.95, time_steps_per_episode 200, learning_steps 10, std_score 180.74, std_score_last_20 172.60, total_time_steps 9800, total_learning_steps 490, total_terminations 0, total_truncations 49
episode 49, score -1737.17, avg_score_total -1618.24, avg_score_last_20 -1615.39, time_steps_per_episode 200, learning_steps 10, std_score 179.73, std_score_last_20 172.13, total_time_steps 10000, total_learning_steps 500, total_terminations 0, total_truncations 50
episode 50, score -1867.48, avg_score_total -1623.12, avg_score_last_20 -1643.25, time_steps_per_episode 200, learning_steps 10, std_score 181.29, std_score_last_20 165.46, total_time_steps 10200, total_learning_steps 510, total_terminations 0, total_truncations 51
episode 51, score -1638.94, avg_score_total -1623.43, avg_score_last_20 -1648.71, time_steps_per_episode 200, learning_steps 10, std_score 179.55, std_score_last_20 163.42, total_time_steps 10400, total_learning_steps 520, total_terminations 0, total_truncations 52
episode 52, score -1821.15, avg_score_total -1627.16, avg_score_last_20 -1651.59, time_steps_per_episode 200, learning_steps 10, std_score 179.87, std_score_last_20 165.90, total_time_steps 10600, total_learning_steps 530, total_terminations 0, total_truncations 53
episode 53, score -1641.02, avg_score_total -1627.42, avg_score_last_20 -1643.86, time_steps_per_episode 200, learning_steps 10, std_score 178.20, std_score_last_20 162.58, total_time_steps 10800, total_learning_steps 540, total_terminations 0, total_truncations 54
episode 54, score -1482.24, avg_score_total -1624.78, avg_score_last_20 -1648.02, time_steps_per_episode 200, learning_steps 10, std_score 177.64, std_score_last_20 157.23, total_time_steps 11000, total_learning_steps 550, total_terminations 0, total_truncations 55
episode 55, score -1569.01, avg_score_total -1623.78, avg_score_last_20 -1633.55, time_steps_per_episode 200, learning_steps 10, std_score 176.20, std_score_last_20 150.38, total_time_steps 11200, total_learning_steps 560, total_terminations 0, total_truncations 56
episode 56, score -1839.82, avg_score_total -1627.57, avg_score_last_20 -1655.65, time_steps_per_episode 200, learning_steps 10, std_score 176.94, std_score_last_20 146.55, total_time_steps 11400, total_learning_steps 570, total_terminations 0, total_truncations 57
