episode 38, score -180488.86, avg_score_total -167415.15, avg_score_last_20 -169690.29, time_steps_per_episode 200, learning_steps 10, std_score 14460.70, std_score_last_20 12949.54, total_time_steps 7800, total_learning_steps 390, total_terminations 0, total_truncations 39
episode 39, score -142774.21, avg_score_total -166799.12, avg_score_last_20 -167568.04, time_steps_per_episode 200, learning_steps 10, std_score 14787.97, std_score_last_20 13687.70, total_time_steps 8000, total_learning_steps 400, total_terminations 0, total_truncations 40
episode 40, score -180864.79, avg_score_total -167142.19, avg_score_last_20 -168200.42, time_steps_per_episode 200, learning_steps 10, std_score 14766.79, std_score_last_20 13991.86, total_time_steps 8200, total_learning_steps 410, total_terminations 0, total_truncations 41
episode 41, score -175312.00, avg_score_total -167336.71, avg_score_last_20 -168122.61, time_steps_per_episode 200, learning_steps 10, std_score 14643.00, std_score_last_20 13947.70, total_time_steps 8400, total_learning_steps 420, total_terminations 0, total_truncations 42
episode 42, score -150499.56, avg_score_total -166945.15, avg_score_last_20 -166873.98, time_steps_per_episode 200, learning_steps 10, std_score 14692.53, std_score_last_20 14345.98, total_time_steps 8600, total_learning_steps 430, total_terminations 0, total_truncations 43
episode 43, score -170746.14, avg_score_total -167031.53, avg_score_last_20 -167436.38, time_steps_per_episode 200, learning_steps 10, std_score 14535.66, std_score_last_20 14266.06, total_time_steps 8800, total_learning_steps 440, total_terminations 0, total_truncations 44
episode 44, score -147458.76, avg_score_total -166596.58, avg_score_last_20 -166178.91, time_steps_per_episode 200, learning_steps 10, std_score 14659.95, std_score_last_20 14851.16, total_time_steps 9000, total_learning_steps 450, total_terminations 0, total_truncations 45
episode 45, score -176505.87, avg_score_total -166812.00, avg_score_last_20 -166121.52, time_steps_per_episode 200, learning_steps 10, std_score 14571.56, std_score_last_20 14808.87, total_time_steps 9200, total_learning_steps 460, total_terminations 0, total_truncations 46
episode 46, score -174153.00, avg_score_total -166968.19, avg_score_last_20 -166654.66, time_steps_per_episode 200, learning_steps 10, std_score 14454.58, std_score_last_20 14896.22, total_time_steps 9400, total_learning_steps 470, total_terminations 0, total_truncations 47
episode 47, score -187911.56, avg_score_total -167404.51, avg_score_last_20 -168677.18, time_steps_per_episode 200, learning_steps 10, std_score 14612.65, std_score_last_20 14899.00, total_time_steps 9600, total_learning_steps 480, total_terminations 0, total_truncations 48
episode 48, score -164663.98, avg_score_total -167348.58, avg_score_last_20 -168154.82, time_steps_per_episode 200, learning_steps 10, std_score 14467.97, std_score_last_20 14847.31, total_time_steps 9800, total_learning_steps 490, total_terminations 0, total_truncations 49
episode 49, score -152354.48, avg_score_total -167048.70, avg_score_last_20 -166533.65, time_steps_per_episode 200, learning_steps 10, std_score 14475.57, std_score_last_20 14713.28, total_time_steps 10000, total_learning_steps 500, total_terminations 0, total_truncations 50
episode 50, score -157659.48, avg_score_total -166864.60, avg_score_last_20 -166693.94, time_steps_per_episode 200, learning_steps 10, std_score 14391.95, std_score_last_20 14597.82, total_time_steps 10200, total_learning_steps 510, total_terminations 0, total_truncations 51
episode 51, score -160477.56, avg_score_total -166741.77, avg_score_last_20 -165362.72, time_steps_per_episode 200, learning_steps 10, std_score 14279.86, std_score_last_20 13871.98, total_time_steps 10400, total_learning_steps 520, total_terminations 0, total_truncations 52
episode 52, score -165304.93, avg_score_total -166714.66, avg_score_last_20 -164909.05, time_steps_per_episode 200, learning_steps 10, std_score 14145.85, std_score_last_20 13717.22, total_time_steps 10600, total_learning_steps 530, total_terminations 0, total_truncations 53
episode 53, score -176418.98, avg_score_total -166894.37, avg_score_last_20 -166312.78, time_steps_per_episode 200, learning_steps 10, std_score 14075.20, std_score_last_20 13382.68, total_time_steps 10800, total_learning_steps 540, total_terminations 0, total_truncations 54
episode 54, score -176132.55, avg_score_total -167062.34, avg_score_last_20 -167966.28, time_steps_per_episode 200, learning_steps 10, std_score 14001.16, std_score_last_20 12415.91, total_time_steps 11000, total_learning_steps 550, total_terminations 0, total_truncations 55
episode 55, score -172263.99, avg_score_total -167155.22, avg_score_last_20 -168390.02, time_steps_per_episode 200, learning_steps 10, std_score 13892.68, std_score_last_20 12410.74, total_time_steps 11200, total_learning_steps 560, total_terminations 0, total_truncations 56
episode 56, score -181912.54, avg_score_total -167414.12, avg_score_last_20 -168336.03, time_steps_per_episode 200, learning_steps 10, std_score 13905.90, std_score_last_20 12349.30, total_time_steps 11400, total_learning_steps 570, total_terminations 0, total_truncations 57
episode 57, score -171700.95, avg_score_total -167488.04, avg_score_last_20 -168280.21, time_steps_per_episode 200, learning_steps 10, std_score 13796.79, std_score_last_20 12331.43, total_time_steps 11600, total_learning_steps 580, total_terminations 0, total_truncations 58
episode 58, score -163871.94, avg_score_total -167426.75, avg_score_last_20 -167449.36, time_steps_per_episode 200, learning_steps 10, std_score 13687.33, std_score_last_20 12037.15, total_time_steps 11800, total_learning_steps 590, total_terminations 0, total_truncations 59
episode 59, score -158981.90, avg_score_total -167286.00, avg_score_last_20 -168259.75, time_steps_per_episode 200, learning_steps 10, std_score 13615.78, std_score_last_20 10834.11, total_time_steps 12000, total_learning_steps 600, total_terminations 0, total_truncations 60
episode 60, score -166413.91, avg_score_total -167271.70, avg_score_last_20 -167537.20, time_steps_per_episode 200, learning_steps 10, std_score 13504.17, std_score_last_20 10444.22, total_time_steps 12200, total_learning_steps 610, total_terminations 0, total_truncations 61
episode 61, score -182124.90, avg_score_total -167511.27, avg_score_last_20 -167877.85, time_steps_per_episode 200, learning_steps 10, std_score 13524.87, std_score_last_20 10797.38, total_time_steps 12400, total_learning_steps 620, total_terminations 0, total_truncations 62
episode 62, score -186019.49, avg_score_total -167805.05, avg_score_last_20 -169653.85, time_steps_per_episode 200, learning_steps 10, std_score 13615.05, std_score_last_20 10713.78, total_time_steps 12600, total_learning_steps 630, total_terminations 0, total_truncations 63
episode 63, score -169923.53, avg_score_total -167838.15, avg_score_last_20 -169612.71, time_steps_per_episode 200, learning_steps 10, std_score 13510.82, std_score_last_20 10711.08, total_time_steps 12800, total_learning_steps 640, total_terminations 0, total_truncations 64
episode 64, score -131385.72, avg_score_total -167277.35, avg_score_last_20 -168809.06, time_steps_per_episode 200, learning_steps 10, std_score 14137.26, std_score_last_20 12751.73, total_time_steps 13000, total_learning_steps 650, total_terminations 0, total_truncations 65
episode 65, score -147009.03, avg_score_total -166970.25, avg_score_last_20 -167334.22, time_steps_per_episode 200, learning_steps 10, std_score 14246.54, std_score_last_20 13462.23, total_time_steps 13200, total_learning_steps 660, total_terminations 0, total_truncations 66
episode 66, score -158231.99, avg_score_total -166839.83, avg_score_last_20 -166538.17, time_steps_per_episode 200, learning_steps 10, std_score 14179.47, std_score_last_20 13506.13, total_time_steps 13400, total_learning_steps 670, total_terminations 0, total_truncations 67
