episode 51, score -1449.1259364343352, avg_score_total -1449.928, avg_score_last_20 -1347.1793372250154, time_steps_per_episode 200, learning_steps 40, total_time_steps 10400, total_learning_steps 2080
episode 52, score -1079.1854607390042, avg_score_total -1442.933, avg_score_last_20 -1332.7958365447898, time_steps_per_episode 200, learning_steps 40, total_time_steps 10600, total_learning_steps 2120
episode 53, score -1323.2215911799963, avg_score_total -1440.716, avg_score_last_20 -1338.3355553356441, time_steps_per_episode 200, learning_steps 40, total_time_steps 10800, total_learning_steps 2160
episode 54, score -1049.9019036283016, avg_score_total -1433.611, avg_score_last_20 -1323.7001879626102, time_steps_per_episode 200, learning_steps 40, total_time_steps 11000, total_learning_steps 2200
episode 55, score -1343.6653162513608, avg_score_total -1432.005, avg_score_last_20 -1325.9748669207265, time_steps_per_episode 200, learning_steps 40, total_time_steps 11200, total_learning_steps 2240
episode 56, score -1348.7569557517459, avg_score_total -1430.544, avg_score_last_20 -1317.6597926983816, time_steps_per_episode 200, learning_steps 40, total_time_steps 11400, total_learning_steps 2280
episode 57, score -1188.9205185774774, avg_score_total -1426.378, avg_score_last_20 -1315.396411689851, time_steps_per_episode 200, learning_steps 40, total_time_steps 11600, total_learning_steps 2320
episode 58, score -1315.839029585811, avg_score_total -1424.505, avg_score_last_20 -1308.2007776209787, time_steps_per_episode 200, learning_steps 40, total_time_steps 11800, total_learning_steps 2360
episode 59, score -1377.99644532933, avg_score_total -1423.729, avg_score_last_20 -1308.3081960957902, time_steps_per_episode 200, learning_steps 40, total_time_steps 12000, total_learning_steps 2400
episode 60, score -1087.5671769693256, avg_score_total -1418.219, avg_score_last_20 -1287.85934498204, time_steps_per_episode 200, learning_steps 40, total_time_steps 12200, total_learning_steps 2440
episode 61, score -1074.1091243116846, avg_score_total -1412.668, avg_score_last_20 -1278.5797416628752, time_steps_per_episode 200, learning_steps 40, total_time_steps 12400, total_learning_steps 2480
episode 62, score -1284.6658804390495, avg_score_total -1410.637, avg_score_last_20 -1279.2683224764694, time_steps_per_episode 200, learning_steps 40, total_time_steps 12600, total_learning_steps 2520
